key;fr;en
random_26;Vote budgétaire suspendu - Tour Opaline détecte 12 000 comptes fantômes.;Budgetary vote suspended, Opaline Tower detects 12,000 phantom accounts.
random_27;Café des Courants publie coordonnées d’une épave fluviale - chasse au trésor.;Currents Café publishes coordinates of a river wreck, treasure hunt begins.
random_28;Labyrinthe Quartz accueille mariage guidé par constellations sonores.;Quartz Labyrinth hosts a wedding guided by sound constellations.
random_29;Station Lumen-Nord passe en motif arc-en-ciel pour la Pride urbaine.;Lumen-Nord Station changes to a rainbow pattern for urban Pride.
random_30;Parc des Archives active mode « histoire alternative » - débats en ligne enflamment la ville.;Archives Park activates “alternative history” mode, online debates ignite the city.
random_31;Tito Mansi lance parfum Framboise Laser - file ininterrompue jusqu’au kiosque rétro.;Tito Mansi launches Laser Raspberry perfume, an uninterrupted queue to the retro kiosk.
random_32;Millionième cône servi, les Bancaires déclenchent pluie de jetons souvenirs.;Millionth cone served, The Bankers trigger a rain of souvenir tokens.
random_33;NOVABot v1 balaie la place - enfants ravis, joggeurs protestent.;NOVABot v1 sweeps the square, children delighted, joggers protest.
random_34;Pari géant e-sport retransmis sur écran rétro - 40 000 crédits misés.;Giant e-sport bet broadcast on retro screen, 40,000 credits wagered.
random_35;Ballet holographique du Halo projeté sur nénuphars luminescents, foule compacte.;Halo holographic ballet projected on luminescent lily pads, dense crowd.
random_36;Drone Azur chavire - 23 glaces renversées, hashtag #ChuteSucrée tendance.;Azur drone capsizes, 23 ice creams spilled, #SweetFall hashtag trending.
random_37;Mare turquoise synchronisée à playlist « Océan-Synth », selfie-rush record.;Turquoise pond synchronized to "Ocean-Synth" playlist, record selfie-rush.
random_38;Journée #DébrancheUnJour - marché analogique triple sa fréquentation habituelle.;#UnplugAday campaign, analog market triples its usual attendance.
random_39;Soupçon de fraude AR sur paris sportifs - activité des Bancaires gelée 48 h.;Suspicion of AR fraud on sports bets, Bankers' activity frozen for 48 hours.
random_40;Graffiti laser « NEON OR DIE » embrase le delta, audience TV record.;"NEON OR DIE" laser graffiti sets the delta ablaze, record TV audience.
random_41;Graff animé AR repéré - brigade cyber-crime ouvre enquête.;Animated AR graffiti spotted, cyber-crime unit opens investigation.
random_42;Course drones-skate illégale - deux appareils confisqués, zéro blessé.;Illegal drone-skate race, two devices confiscated, zero injuries.
random_43;Capteurs pas-énergie allumés, pont s’auto-éclaire après minuit.;Step-energy sensors activated, bridge auto-illuminates after midnight.
random_44;Tag géant « Free the Rails » signé Gardiens, trending #1 pendant 6 h.;Giant "Free the Rails" tag signed by Guardians, trending #1 for 6 hours.
random_45;Essai cargo-drone fait vibrer la travée - tests suspendus sur-le-champ.;Cargo-drone test makes the span vibrate, tests suspended on the spot.
random_46;Brume électronique brouille caméras, fermeture préventive surprise.;Electronic mist scrambles cameras, surprise preventive closure.
random_47;Tag Voxel découvert après hackathon clandestin, mythe naissant.;Voxel tag discovered after a clandestine hackathon, a new myth is born.
random_48;Bactéries lumineuses détournent rame fantôme niveau -2, frisson viral.;Luminescent bacteria hijack ghost train on level -2, viral sensation.
random_49;Concert VR pirate atteint latence zéro - stream clandestin 2 M vues.;Pirate VR concert achieves zero latency, clandestine stream gets 2M views.
random_50;Serveurs immergés installés - pics thermiques inquiétants signalés.;Submerged servers installed, worrying thermal spikes reported.
random_51;Journées sismiques effacées du réseau - soupçon de sabotage.;Seismic data erased from the network, sabotage suspected.
random_52;Expo « 404 Murmures » binaural, cardiologues mettent en garde.;"404 Whispers" binaural expo, cardiologists issue a warning.
random_53;Fuite vidéo - bras d’acier referme sas niveau-5, polémique citywide.;Video leak, steel arm closes airlock on level -5, citywide controversy.
random_54;Filtre « Supernova » vendu 5 000 cr, record nocturne explosé.;"Supernova" filter sold for 5,000 cr, night record shattered.
random_55;Slogans Voxel clignotent après piratage projecteurs, enquête en cours.;Voxel slogans flash after projector hacking, investigation underway.
random_56;Stand « Identité en 5 pixels » réalise 30 k portraits en week-end.;"Identity in 5 pixels" booth creates 30k portraits over the weekend.
random_57;Raid cyberdouane - 12 lots de bokeh illégal saisis.;Cyber-customs raid, 12 batches of illegal bokeh seized.
random_58;Filtre « Aurore » colore ciel partagé rose pastel - conservateurs outrés.;"Aurora" filter colors shared sky pastel pink, conservatives outraged.
random_59;Graff analogique Gardiens projeté, drones Azur brouillés 3 min.;Guardians' analog graffiti projected, Azur drones scrambled for 3 min.
random_60;Crise photosensible après filtre stroboscopique, santé publique alerte.;Photosensitive crisis after stroboscopic filter, public health alert.
